subgroup_column,subgroup,n_test,recall,positive_rate,base_rate,dataset,condition,rate,seed,rule_set
marital,divorced,1308,0.5673758865248227,0.09785932721712538,0.10779816513761468,bank_marketing_full,clean,0.1,20260805,census_informed
age_band,30-44,5936,0.5894736842105263,0.09652964959568733,0.09602425876010781,bank_marketing_full,clean,0.1,20260805,census_informed
age_band,45-59,3395,0.5348189415041783,0.09278350515463918,0.10574374079528719,bank_marketing_full,clean,0.1,20260805,census_informed
age_band,<30,1699,0.631768953068592,0.16303708063566805,0.16303708063566805,bank_marketing_full,clean,0.1,20260805,census_informed
age_band,60+,273,0.7758620689655172,0.575091575091575,0.4249084249084249,bank_marketing_full,clean,0.1,20260805,census_informed
marital,single,3226,0.6470588235294118,0.15375077495350278,0.14755114693118412,bank_marketing_full,corrupted,0.1,20260805,census_informed
marital,married,6769,0.5631205673758866,0.10311715172108141,0.10415127788447333,bank_marketing_full,corrupted,0.1,20260805,census_informed
marital,divorced,1308,0.574468085106383,0.09785932721712538,0.10779816513761468,bank_marketing_full,corrupted,0.1,20260805,census_informed
age_band,30-44,5936,0.5666666666666667,0.09501347708894879,0.09602425876010781,bank_marketing_full,corrupted,0.1,20260805,census_informed
age_band,45-59,3395,0.5571030640668524,0.09543446244477172,0.10574374079528719,bank_marketing_full,corrupted,0.1,20260805,census_informed
age_band,<30,1699,0.6209386281588448,0.16421424367274867,0.16303708063566805,bank_marketing_full,corrupted,0.1,20260805,census_informed
age_band,60+,273,0.7844827586206896,0.5677655677655677,0.4249084249084249,bank_marketing_full,corrupted,0.1,20260805,census_informed
marital,single,3226,0.6260504201680672,0.15158090514569125,0.14755114693118412,bank_marketing_full,quarantine,0.1,20260805,census_informed
marital,married,6769,0.5716312056737589,0.10577633328408922,0.10415127788447333,bank_marketing_full,quarantine,0.1,20260805,census_informed
marital,divorced,1308,0.5319148936170213,0.08944954128440367,0.10779816513761468,bank_marketing_full,quarantine,0.1,20260805,census_informed
age_band,30-44,5936,0.5578947368421052,0.09349730458221024,0.09602425876010781,bank_marketing_full,quarantine,0.1,20260805,census_informed
age_band,45-59,3395,0.5292479108635098,0.0930780559646539,0.10574374079528719,bank_marketing_full,quarantine,0.1,20260805,census_informed
age_band,<30,1699,0.6389891696750902,0.1718658034137728,0.16303708063566805,bank_marketing_full,quarantine,0.1,20260805,census_informed
age_band,60+,273,0.7844827586206896,0.5824175824175825,0.4249084249084249,bank_marketing_full,quarantine,0.1,20260805,census_informed
marital,single,3226,0.6428571428571429,0.15375077495350278,0.14755114693118412,bank_marketing_full,repair,0.1,20260805,census_informed
marital,married,6769,0.5617021276595745,0.10252622248485743,0.10415127788447333,bank_marketing_full,repair,0.1,20260805,census_informed
marital,divorced,1308,0.574468085106383,0.10091743119266056,0.10779816513761468,bank_marketing_full,repair,0.1,20260805,census_informed
age_band,30-44,5936,0.5771929824561404,0.09737196765498653,0.09602425876010781,bank_marketing_full,repair,0.1,20260805,census_informed
age_band,45-59,3395,0.5403899721448467,0.09072164948453608,0.10574374079528719,bank_marketing_full,repair,0.1,20260805,census_informed
age_band,<30,1699,0.6101083032490975,0.1618599175985874,0.16303708063566805,bank_marketing_full,repair,0.1,20260805,census_informed
age_band,60+,273,0.7844827586206896,0.5897435897435898,0.4249084249084249,bank_marketing_full,repair,0.1,20260805,census_informed
marital,single,3226,0.657563025210084,0.15282083075015498,0.14755114693118412,bank_marketing_full,clean,0.1,20260806,census_informed
marital,married,6769,0.5702127659574469,0.10252622248485743,0.10415127788447333,bank_marketing_full,clean,0.1,20260806,census_informed
marital,divorced,1308,0.5886524822695035,0.10321100917431193,0.10779816513761468,bank_marketing_full,clean,0.1,20260806,census_informed
age_band,30-44,5936,0.5894736842105263,0.09585579514824798,0.09602425876010781,bank_marketing_full,clean,0.1,20260806,census_informed
age_band,45-59,3395,0.5403899721448467,0.09278350515463918,0.10574374079528719,bank_marketing_full,clean,0.1,20260806,census_informed
age_band,<30,1699,0.6425992779783394,0.16656856974690995,0.16303708063566805,bank_marketing_full,clean,0.1,20260806,census_informed
age_band,60+,273,0.7758620689655172,0.5677655677655677,0.4249084249084249,bank_marketing_full,clean,0.1,20260806,census_informed
marital,single,3226,0.6491596638655462,0.15530068195908245,0.14755114693118412,bank_marketing_full,corrupted,0.1,20260806,census_informed
marital,married,6769,0.548936170212766,0.10149209632146551,0.10415127788447333,bank_marketing_full,corrupted,0.1,20260806,census_informed
marital,divorced,1308,0.6028368794326241,0.10244648318042814,0.10779816513761468,bank_marketing_full,corrupted,0.1,20260806,census_informed
age_band,30-44,5936,0.5789473684210527,0.09720350404312668,0.09602425876010781,bank_marketing_full,corrupted,0.1,20260806,census_informed
age_band,45-59,3395,0.5376044568245125,0.09160530191458026,0.10574374079528719,bank_marketing_full,corrupted,0.1,20260806,census_informed
age_band,<30,1699,0.6064981949458483,0.16715715126545028,0.16303708063566805,bank_marketing_full,corrupted,0.1,20260806,census_informed
age_band,60+,273,0.7758620689655172,0.5494505494505495,0.4249084249084249,bank_marketing_full,corrupted,0.1,20260806,census_informed
marital,single,3226,0.6239495798319328,0.15468071915685058,0.14755114693118412,bank_marketing_full,quarantine,0.1,20260806,census_informed
marital,married,6769,0.5546099290780142,0.10311715172108141,0.10415127788447333,bank_marketing_full,quarantine,0.1,20260806,census_informed
marital,divorced,1308,0.5460992907801419,0.095565749235474,0.10779816513761468,bank_marketing_full,quarantine,0.1,20260806,census_informed
age_band,30-44,5936,0.543859649122807,0.09400269541778976,0.09602425876010781,bank_marketing_full,quarantine,0.1,20260806,census_informed
age_band,45-59,3395,0.5403899721448467,0.0898379970544919,0.10574374079528719,bank_marketing_full,quarantine,0.1,20260806,census_informed
age_band,<30,1699,0.6173285198555957,0.17245438493231313,0.16303708063566805,bank_marketing_full,quarantine,0.1,20260806,census_informed
age_band,60+,273,0.7758620689655172,0.608058608058608,0.4249084249084249,bank_marketing_full,quarantine,0.1,20260806,census_informed
marital,single,3226,0.6260504201680672,0.1568505889646621,0.14755114693118412,bank_marketing_full,repair,0.1,20260806,census_informed
marital,married,6769,0.5560283687943263,0.10060570246712956,0.10415127788447333,bank_marketing_full,repair,0.1,20260806,census_informed
marital,divorced,1308,0.6099290780141844,0.10321100917431193,0.10779816513761468,bank_marketing_full,repair,0.1,20260806,census_informed
age_band,30-44,5936,0.5719298245614035,0.09652964959568733,0.09602425876010781,bank_marketing_full,repair,0.1,20260806,census_informed
age_band,45-59,3395,0.520891364902507,0.08924889543446245,0.10574374079528719,bank_marketing_full,repair,0.1,20260806,census_informed
age_band,<30,1699,0.6173285198555957,0.1683343143025309,0.16303708063566805,bank_marketing_full,repair,0.1,20260806,census_informed
age_band,60+,273,0.7931034482758621,0.5860805860805861,0.4249084249084249,bank_marketing_full,repair,0.1,20260806,census_informed
marital,single,3226,0.6554621848739496,0.15034097954122752,0.14755114693118412,bank_marketing_full,clean,0.1,20260807,census_informed
marital,married,6769,0.574468085106383,0.10356034864824937,0.10415127788447333,bank_marketing_full,clean,0.1,20260807,census_informed
marital,divorced,1308,0.5886524822695035,0.10397553516819572,0.10779816513761468,bank_marketing_full,clean,0.1,20260807,census_informed
