condition,model,seed,roc_auc,pr_auc,brier,n_train,status,dataset,rate,rule_set
quarantine,hgb,20260803,0.8521832934921282,0.46902693599405054,0.0915289620682246,1668,ok,bank_marketing_full,0.2,naive
repair,logreg,20260803,0.9020462630889764,0.5368258432248282,0.07255299148544296,40690,ok,bank_marketing_full,0.2,naive
repair,hgb,20260803,0.9109975367722122,0.5734874697726227,0.06974639258989558,40690,ok,bank_marketing_full,0.2,naive
clean,logreg,20260804,0.9060187881937861,0.545662857696497,0.0714238474484318,33908,ok,bank_marketing_full,0.2,naive
clean,hgb,20260804,0.9347268509108304,0.6335437619938029,0.061466319262384266,33908,ok,bank_marketing_full,0.2,naive
corrupted,logreg,20260804,0.8830472299790176,0.5326305014306036,0.07472499991739982,40690,ok,bank_marketing_full,0.2,naive
corrupted,hgb,20260804,0.9323078448143757,0.6210197913680741,0.06288313042317825,40690,ok,bank_marketing_full,0.2,naive
quarantine,logreg,20260804,0.8236286614764724,0.42594295273925803,0.0971769504712309,1614,ok,bank_marketing_full,0.2,naive
quarantine,hgb,20260804,0.8459935450730064,0.4324770908026264,0.10022395037797903,1614,ok,bank_marketing_full,0.2,naive
repair,logreg,20260804,0.9015679715817088,0.5337016816351537,0.0728107608153093,40690,ok,bank_marketing_full,0.2,naive
repair,hgb,20260804,0.9094082842120149,0.5663670733764705,0.07024715341094699,40690,ok,bank_marketing_full,0.2,naive
clean,logreg,20260805,0.9060187881937861,0.545662857696497,0.0714238474484318,33908,ok,bank_marketing_full,0.2,naive
clean,hgb,20260805,0.9341690967755527,0.6311523622153931,0.06192832469044535,33908,ok,bank_marketing_full,0.2,naive
corrupted,logreg,20260805,0.882584323224717,0.5297711707540476,0.07484189913682229,40690,ok,bank_marketing_full,0.2,naive
corrupted,hgb,20260805,0.9305890723388053,0.6172895496477508,0.0631381364277931,40690,ok,bank_marketing_full,0.2,naive
quarantine,logreg,20260805,0.8308525229706487,0.43814844357414345,0.09704063551040089,1571,ok,bank_marketing_full,0.2,naive
quarantine,hgb,20260805,0.8251714566299267,0.3666098960724379,0.12168869672805263,1571,ok,bank_marketing_full,0.2,naive
repair,logreg,20260805,0.9015243182925015,0.5340043336494144,0.07316791155861038,40690,ok,bank_marketing_full,0.2,naive
repair,hgb,20260805,0.9118618870559054,0.5708739809082723,0.07001346749277305,40690,ok,bank_marketing_full,0.2,naive
clean,logreg,20260806,0.9060187881937861,0.545662857696497,0.0714238474484318,33908,ok,bank_marketing_full,0.2,naive
clean,hgb,20260806,0.9337443866493085,0.6253713897892842,0.061942296331646184,33908,ok,bank_marketing_full,0.2,naive
corrupted,logreg,20260806,0.8782553720450096,0.5271472015380895,0.07544279220216651,40690,ok,bank_marketing_full,0.2,naive
corrupted,hgb,20260806,0.931804998331929,0.609425639627056,0.06344243487309628,40690,ok,bank_marketing_full,0.2,naive
quarantine,logreg,20260806,0.8478330461765403,0.438218386017859,0.10254290933767564,1644,ok,bank_marketing_full,0.2,naive
quarantine,hgb,20260806,0.8494708781783725,0.43850043779555886,0.11132569602366886,1644,ok,bank_marketing_full,0.2,naive
