dataset,tool,rate,seed,status,seconds,precision,recall,f1,n_detected
diabetes_130us,Pandera,0.05,20260803,ok,14.008,1.0,0.780043,0.876432,226663
diabetes_130us,GreatExpectations,0.05,20260803,ok,22.251,1.0,0.668609,0.801397,30528
diabetes_130us,SodaCore/DuckDB,0.05,20260803,ok,2.092,1.0,0.780043,0.876432,226663
diabetes_130us,PyDeequ,0.05,20260803,unavailable,,,,,0
diabetes_130us,ZTLF (ours),0.05,20260804,ok,0.613,1.0,0.779616,0.876162,226663
diabetes_130us,Pandera,0.05,20260804,ok,13.898,1.0,0.779616,0.876162,226663
diabetes_130us,GreatExpectations,0.05,20260804,ok,20.992,1.0,0.668243,0.801134,30528
diabetes_130us,SodaCore/DuckDB,0.05,20260804,ok,1.219,1.0,0.779616,0.876162,226663
diabetes_130us,PyDeequ,0.05,20260804,unavailable,,,,,0
diabetes_130us,ZTLF (ours),0.05,20260805,ok,1.157,1.0,0.779753,0.876249,226663
diabetes_130us,Pandera,0.05,20260805,ok,13.376,1.0,0.779753,0.876249,226663
diabetes_130us,GreatExpectations,0.05,20260805,ok,22.36,1.0,0.66836,0.801218,30528
diabetes_130us,SodaCore/DuckDB,0.05,20260805,ok,1.164,1.0,0.779753,0.876249,226663
diabetes_130us,PyDeequ,0.05,20260805,unavailable,,,,,0
diabetes_130us,ZTLF (ours),0.05,20260806,ok,0.592,1.0,0.779907,0.876346,226663
diabetes_130us,Pandera,0.05,20260806,ok,14.296,1.0,0.779907,0.876346,226663
diabetes_130us,GreatExpectations,0.05,20260806,ok,23.06,1.0,0.668491,0.801312,30528
diabetes_130us,SodaCore/DuckDB,0.05,20260806,ok,1.773,1.0,0.779907,0.876346,226663
diabetes_130us,PyDeequ,0.05,20260806,unavailable,,,,,0
diabetes_130us,ZTLF (ours),0.05,20260807,ok,0.622,1.0,0.779463,0.876065,226663
diabetes_130us,Pandera,0.05,20260807,ok,13.756,1.0,0.779463,0.876065,226663
diabetes_130us,GreatExpectations,0.05,20260807,ok,21.257,1.0,0.668111,0.801039,30528
diabetes_130us,SodaCore/DuckDB,0.05,20260807,ok,1.228,1.0,0.779463,0.876065,226663
diabetes_130us,PyDeequ,0.05,20260807,unavailable,,,,,0
diabetes_130us,ZTLF (ours),0.1,20260803,ok,0.64,1.0,0.779702,0.876216,262286
diabetes_130us,Pandera,0.1,20260803,ok,15.746,1.0,0.779702,0.876216,262286
diabetes_130us,GreatExpectations,0.1,20260803,ok,21.987,1.0,0.668316,0.801186,61062
diabetes_130us,SodaCore/DuckDB,0.1,20260803,ok,1.303,1.0,0.779702,0.876216,262286
diabetes_130us,PyDeequ,0.1,20260803,unavailable,,,,,0
diabetes_130us,ZTLF (ours),0.1,20260804,ok,0.624,1.0,0.779633,0.876173,262286
diabetes_130us,Pandera,0.1,20260804,ok,15.652,1.0,0.779633,0.876173,262286
diabetes_130us,GreatExpectations,0.1,20260804,ok,22.184,1.0,0.668257,0.801144,61062
diabetes_130us,SodaCore/DuckDB,0.1,20260804,ok,1.253,1.0,0.779633,0.876173,262286
diabetes_130us,PyDeequ,0.1,20260804,unavailable,,,,,0
diabetes_130us,ZTLF (ours),0.1,20260805,ok,0.631,1.0,0.779761,0.876254,262286
diabetes_130us,Pandera,0.1,20260805,ok,15.767,1.0,0.779761,0.876254,262286
diabetes_130us,GreatExpectations,0.1,20260805,ok,21.959,1.0,0.668367,0.801223,61062
diabetes_130us,SodaCore/DuckDB,0.1,20260805,ok,1.481,1.0,0.779761,0.876254,262286
diabetes_130us,PyDeequ,0.1,20260805,unavailable,,,,,0
diabetes_130us,ZTLF (ours),0.1,20260806,ok,0.625,1.0,0.779761,0.876254,262286
diabetes_130us,Pandera,0.1,20260806,ok,15.818,1.0,0.779761,0.876254,262286
diabetes_130us,GreatExpectations,0.1,20260806,ok,22.273,1.0,0.668367,0.801223,61062
diabetes_130us,SodaCore/DuckDB,0.1,20260806,ok,2.084,1.0,0.779761,0.876254,262286
diabetes_130us,PyDeequ,0.1,20260806,unavailable,,,,,0
diabetes_130us,ZTLF (ours),0.1,20260807,ok,0.632,1.0,0.779941,0.876367,262286
diabetes_130us,Pandera,0.1,20260807,ok,15.64,1.0,0.779941,0.876367,262286
diabetes_130us,GreatExpectations,0.1,20260807,ok,22.677,1.0,0.668521,0.801333,61062
diabetes_130us,SodaCore/DuckDB,0.1,20260807,ok,2.058,1.0,0.779941,0.876367,262286
diabetes_130us,PyDeequ,0.1,20260807,unavailable,,,,,0
diabetes_130us,ZTLF (ours),0.2,20260803,ok,0.71,1.0,0.779715,0.876224,333518
diabetes_130us,Pandera,0.2,20260803,ok,19.803,1.0,0.779715,0.876224,333518
diabetes_130us,GreatExpectations,0.2,20260803,ok,25.674,1.0,0.668327,0.801194,122118
diabetes_130us,SodaCore/DuckDB,0.2,20260803,ok,1.469,1.0,0.779715,0.876224,333518
diabetes_130us,PyDeequ,0.2,20260803,unavailable,,,,,0
diabetes_130us,ZTLF (ours),0.2,20260804,ok,1.223,1.0,0.779629,0.87617,333518
diabetes_130us,Pandera,0.2,20260804,ok,20.107,1.0,0.779629,0.87617,333518
diabetes_130us,GreatExpectations,0.2,20260804,ok,24.871,1.0,0.668254,0.801142,122118
diabetes_130us,SodaCore/DuckDB,0.2,20260804,ok,2.332,1.0,0.779629,0.87617,333518
diabetes_130us,PyDeequ,0.2,20260804,unavailable,,,,,0
diabetes_130us,ZTLF (ours),0.2,20260805,ok,0.7,1.0,0.779719,0.876227,333518
diabetes_130us,Pandera,0.2,20260805,ok,21.654,1.0,0.779719,0.876227,333518
diabetes_130us,GreatExpectations,0.2,20260805,ok,23.876,1.0,0.66833,0.801197,122118
diabetes_130us,SodaCore/DuckDB,0.2,20260805,ok,1.456,1.0,0.779719,0.876227,333518
diabetes_130us,PyDeequ,0.2,20260805,unavailable,,,,,0
diabetes_130us,ZTLF (ours),0.2,20260806,ok,0.725,1.0,0.779744,0.876243,333518
diabetes_130us,Pandera,0.2,20260806,ok,20.433,1.0,0.779744,0.876243,333518
diabetes_130us,GreatExpectations,0.2,20260806,ok,25.477,1.0,0.668352,0.801212,122118
diabetes_130us,SodaCore/DuckDB,0.2,20260806,ok,1.425,1.0,0.779744,0.876243,333518
diabetes_130us,PyDeequ,0.2,20260806,unavailable,,,,,0
diabetes_130us,ZTLF (ours),0.2,20260807,ok,0.68,1.0,0.77971,0.876222,333518
